,open_dt,close_dt,symbol,amount,buy,sell,long,pnl,rt_returns,duration,returns
0,2022-01-03 10:31:00+05:30,2022-01-03 10:46:00+05:30,HAL,7.0,1242.86,1237.31,False,-38.84999999999968,-0.004465506975845997,0 days 00:15:00,-0.0038912727316433777
1,2022-01-04 14:01:00+05:30,2022-01-06 14:31:00+05:30,HAL,7.0,1249.01,1249.22,True,1.4700000000002547,0.0001681331614639085,2 days 00:30:00,0.00014491067784682987
2,2022-01-07 14:31:00+05:30,2022-01-11 12:16:00+05:30,HAL,7.0,1255.89,1288.63,True,229.18000000000006,0.02606916210814642,3 days 21:45:00,
3,2022-01-11 13:46:00+05:30,2022-01-11 14:01:00+05:30,HAL,7.0,1281.77,1273.33,True,-59.08000000000038,-0.006584644671040869,0 days 00:15:00,-0.00569696174897115
4,2022-01-11 14:16:00+05:30,2022-01-12 13:46:00+05:30,HAL,7.0,1274.07,1308.03,True,237.72000000000025,0.026654736395959434,0 days 23:30:00,0.022922846089461994
5,2022-01-18 14:46:00+05:30,2022-01-18 15:01:00+05:30,HAL,7.0,1394.72,1383.05,True,-81.69000000000051,-0.008367270850063146,0 days 00:15:00,-0.007721157426923626
6,2022-01-18 15:16:00+05:30,2022-01-21 09:31:00+05:30,HAL,7.0,1389.54,1423.33,True,236.52999999999975,0.024317400002878627,2 days 18:15:00,0.02235629044179498
7,2022-01-21 13:31:00+05:30,2022-01-21 13:46:00+05:30,HAL,7.0,1426.48,1425.13,True,-9.449999999999363,-0.0009463855083842108,0 days 00:15:00,
8,2022-01-21 14:16:00+05:30,2022-01-21 14:31:00+05:30,HAL,7.0,1416.66,1402.65,True,-98.06999999999994,-0.009889458303333185,0 days 00:15:00,
9,2022-01-21 14:46:00+05:30,2022-01-24 11:16:00+05:30,HAL,7.0,1402.89,1395.9,True,-48.930000000000064,-0.004982571691294405,2 days 20:30:00,
10,2022-01-25 14:01:00+05:30,2022-01-25 14:31:00+05:30,HAL,7.0,1416.0,1403.36,False,-88.4800000000007,-0.008926553672316455,0 days 00:30:00,
11,2022-01-25 14:46:00+05:30,2022-01-27 10:46:00+05:30,HAL,7.0,1428.37,1420.77,False,-53.19999999999936,-0.005320750225781772,1 days 20:00:00,
12,2022-01-27 12:16:00+05:30,2022-01-28 13:32:00+05:30,HAL,7.0,1406.58,1439.72,True,231.9800000000007,0.023560693312858212,1 days 01:16:00,0.022348467697418117
13,2022-01-28 14:16:00+05:30,2022-01-28 14:31:00+05:30,HAL,7.0,1426.02,1420.86,True,-36.12000000000057,-0.0036184625741575026,0 days 00:15:00,
14,2022-01-28 14:46:00+05:30,2022-01-28 15:01:00+05:30,HAL,7.0,1413.07,1406.94,True,-42.90999999999917,-0.004338072423871345,0 days 00:15:00,
15,2022-01-31 14:01:00+05:30,2022-02-01 12:16:00+05:30,HAL,7.0,1441.22,1442.55,True,9.30999999999949,0.0009228292696464989,0 days 22:15:00,0.0008961021960759666
16,2022-02-03 12:31:00+05:30,2022-02-03 12:46:00+05:30,HAL,7.0,1443.77,1442.17,False,-11.199999999999363,-0.00110820975640158,0 days 00:15:00,-0.0010487667158899736
17,2022-02-03 13:16:00+05:30,2022-02-07 09:46:00+05:30,HAL,7.0,1419.22,1441.99,False,159.38999999999987,0.016044024182297303,3 days 20:30:00,0.014925261325510022
