date,net,cash,holdings,cost_basis,starting_cash,margin,mtm,realized,pnls,liquid_value,commissions,charges,day_pnl,gross_leverage,net_leverage,gross_exposure,net_exposure,long_exposure,short_exposure,longs_count,shorts_count,algo_returns,algo_cum_returns,algo_volatility,drawdown,sharpe,strategy_vol,benchmark,benchmark_returns,alpha,beta
2022-01-03 00:00:00+05:30,9961.1800,9961.1800,0.0000,0.0000,10000.0000,0.0000,0.0000,-38.8200,-38.8200,9961.1800,0.0000,0.0000,-38.8200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,-0.0039,-0.0039,0.0619,-0.0039,,,10000.0000,0.0000,,
2022-01-04 00:00:00+05:30,9983.8800,1218.1300,8765.7500,8743.0500,10000.0000,0.0000,22.7000,-38.8200,-16.1200,9983.8800,0.0000,0.0000,22.7000,0.8800,0.8800,8765.7500,8765.7500,8765.7500,0.0000,1,0,0.0023,-0.0016,0.0508,0.0000,,,10097.5314,0.0098,,
2022-01-05 00:00:00+05:30,10144.1800,1218.1300,8926.0500,8743.0500,10000.0000,0.0000,183.0000,-38.8200,144.1800,10144.1800,0.0000,0.0000,160.3000,0.8800,0.8800,8926.0500,8926.0500,8926.0500,0.0000,1,0,0.0161,0.0144,0.1533,0.0000,,,10154.4341,0.0056,,
2022-01-06 00:00:00+05:30,9962.6300,9962.6300,0.0000,0.0000,10000.0000,0.0000,0.0000,-37.3700,-37.3700,9962.6300,0.0000,0.0000,-181.5500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,-0.0179,-0.0037,0.1945,-0.0179,,,10062.7433,-0.0090,,
2022-01-07 00:00:00+05:30,9955.7100,1171.4100,8784.3000,8791.2300,10000.0000,0.0000,-6.9300,-37.3700,-44.2900,9955.7100,0.0000,0.0000,-6.9200,0.8800,0.8800,8784.3000,8784.3000,8784.3000,0.0000,1,0,-0.0007,-0.0044,0.1740,-0.0186,,,10103.6838,0.0041,,
2022-01-10 00:00:00+05:30,10229.7600,1171.4100,9058.3500,8791.2300,10000.0000,0.0000,267.1200,-37.3700,229.7600,10229.7600,0.0000,0.0000,274.0500,0.8900,0.8900,9058.3500,9058.3500,9058.3500,0.0000,1,0,0.0275,0.0230,0.2387,0.0000,,,10209.8626,0.0105,,
2022-01-11 00:00:00+05:30,10174.2300,1214.2300,8960.0000,8918.4700,10000.0000,0.0000,41.5300,132.7000,174.2300,10174.2300,0.0000,0.0000,-55.5300,0.8800,0.8800,8960.0000,8960.0000,8960.0000,0.0000,1,0,-0.0054,0.0174,0.2234,-0.0054,,,10240.2277,0.0030,,
2022-01-12 00:00:00+05:30,10370.4400,10370.4400,0.0000,0.0000,10000.0000,0.0000,0.0000,370.4400,370.4400,10370.4400,0.0000,0.0000,196.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0193,0.0370,0.2354,0.0000,,,10318.8199,0.0077,,
2022-01-13 00:00:00+05:30,10370.4400,10370.4400,0.0000,0.0000,10000.0000,0.0000,0.0000,370.4400,370.4400,10370.4400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0370,0.2219,0.0000,,,10352.2754,0.0032,,
2022-01-14 00:00:00+05:30,10370.4400,10370.4400,0.0000,0.0000,10000.0000,0.0000,0.0000,370.4400,370.4400,10370.4400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0370,0.2105,0.0000,,,10340.3108,-0.0012,,
